contratto_cod|codice_ordine_sap|tipo_contratto|codice_opec|data_firma|net_amount|causale_annullamento|data_annullamento|codice_agente|status_quote|creazione_dta
Y05461742||Facile|H049TKAK|3/24/2022|1228|||10807|Scatto Bloccato|11/24/2022
Y05664132||Facile|DM0W9AA9|3/24/2022|1628|||12214|In attesa scatto|11/24/2022
Y05618972||Facile|H07FU4BB|3/24/2022|599|||10163|Scatto Bloccato|11/24/2022
Y05669202||Facile|H020TZ66|3/24/2022|1216|||4868|Scatto Bloccato|11/24/2022
Y05576802||Facile|H06RYRNM|3/24/2022|948|||12054|In attesa scatto|11/24/2022
Y05655652||Facile|H07GSAXW|3/24/2022|948|||12595|Scatto Bloccato|11/24/2022
Y05663042||Facile|H02HBWHH|3/24/2022|3946|||6846|Scatto Bloccato|11/24/2022
Y05630282||Facile|H07H80ZZ|3/24/2022|7447|||12520|Scatto Bloccato|11/24/2022
Y05668282||Facile|H07H61EE|3/24/2022|948|||2424|Scatto Bloccato|11/24/2022
Y05630052||Facile|H01KF1PP|3/24/2022|652.9|||2102|In attesa scatto|11/24/2022
Y05659142||Facile|BJ4R8AA7|3/24/2022|625.95|||12003|Scatto Bloccato|11/24/2022
Y05581002||Facile|H07H8TSS|3/24/2022|1659|||1088|Scatto Bloccato|11/24/2022
Y05517092||Facile|H04488BB|3/24/2022|1239.6|||12173|Scatto Bloccato|11/24/2022
Y05529092||Facile|AZD0TAAT|3/24/2022|707.9|||1642|Scatto Bloccato|11/24/2022
Y05651642||Facile|H06WUWHH|3/24/2022|1598|||11881|Scatto Bloccato|11/24/2022
Y05360452||Facile|G2J8AAA7|3/24/2022|2198|||12803|Scatto Bloccato|11/24/2022
Y05666432||Facile|H02GHJ54|3/24/2022|599|||2100|Scatto Bloccato|11/24/2022
Y05667782||Facile|H02JSJBA|3/24/2022|1198|||8840|Scatto Bloccato|11/24/2022
Y05503382||Facile|H06HNFUT|3/24/2022|1847|||10846|Scatto Bloccato|11/24/2022
Y05662452||Facile|H06TXPRP|3/24/2022|948|||3860|In attesa scatto|11/24/2022
Y05622552||Facile|H0048TYY|3/24/2022|625.95|||10645|Scatto Bloccato|11/24/2022
Y05326452||Facile|H07B3M76|3/24/2022|1198|||10086|Scatto Bloccato|11/24/2022
Y05622272||Facile|H07AS1JJ|3/24/2022|1802|||10369|Scatto Bloccato|11/24/2022
Y05598842||Facile|FXKTNAAM|3/24/2022|1598|||4405|Scatto Bloccato|11/24/2022
Y05618462||Facile|H0138733|3/24/2022|599|||11715|In attesa scatto|11/24/2022
Y05154142||Facile|DHSMYAAX|3/24/2022|599|||7252|Scatto Bloccato|11/24/2022
Y05574002||Facile|EY6RAAAR|3/24/2022|1098|||9359|Scatto Bloccato|11/24/2022
Y05662182||Facile|FTFP6AA5|3/24/2022|3423.95|||12810|In attesa scatto|11/24/2022
Y05581382||Facile|AZ4L7AA6|3/24/2022|3227|||3527|Scatto Bloccato|11/24/2022
Y05000362||Facile|H004XNRP|3/28/2022|1251.9|||4452|Scatto Bloccato|11/24/2022
Y04294932||Facile|H02GT3RR|1/24/2022|698|||30250|Scatto Bloccato|11/25/2022
Y04002292||Facile|ASFWBAAB|1/24/2022|1097|||32218|Scatto Bloccato|11/25/2022
Y04291112||Facile|H009PFXW|1/24/2022|598|||992|Scatto Bloccato|11/25/2022
Y04296572||Facile|H06S2JZY|1/24/2022|349|||992|Scatto Bloccato|11/25/2022
Y04299802||Facile|H063NK43|1/24/2022|399|||31619|Scatto Bloccato|11/25/2022
Y05656952||Facile|H02165NN|3/25/2022|599|||12520|Scatto Bloccato|11/25/2022
Y05495972||Facile|DX91NAAN|3/25/2022|1784.85|||8840|In attesa scatto|11/25/2022
Y05691142||Facile|A6TXNAAN|3/25/2022|1529|||5238|Scatto Bloccato|11/25/2022
Y04755472||Facile|H058VXJJ|3/25/2022|2504.9|||9949|Scatto Bloccato|11/25/2022
Y05713682||Facile|H01DE7EE|3/25/2022|599|||1300|Scatto Bloccato|11/25/2022
Y05446512||Facile|H02DZ077|3/25/2022|599|||12152|Scatto Bloccato|11/25/2022
Y04885722||Facile|BAUMUAAT|3/25/2022|1224.95|||11084|In attesa scatto|11/25/2022
Y05713672||Facile|H05T5X77|3/25/2022|499|||11157|Scatto Bloccato|11/25/2022
Y05543132||Facile|H06B2BED|3/25/2022|1198|||9370|Scatto Bloccato|11/25/2022
Y05621892||Facile|BYM8TAAT|3/25/2022|948|||9545|Scatto Bloccato|11/25/2022
Y05710402||Facile|H02X68NN|3/25/2022|2047|||12466|Scatto Bloccato|11/25/2022
Y05451842||Facile|H0110X22|3/25/2022|5748|||3860|Scatto Bloccato|11/25/2022
Y05619452||Facile|H07H8YUU|3/25/2022|3046|||11876|In attesa scatto|11/25/2022
Y05618692||Facile|H07H80BB|3/25/2022|1098|||9149|Scatto Bloccato|11/25/2022
Y05691442||Facile|DYMSBAAA|3/28/2022|2747|||2041|Scatto Bloccato|11/25/2022
Y05695282||Facile|H06D2RKJ|3/25/2022|948|||12659|Scatto Bloccato|11/25/2022
Y05619252||Facile|DB0AZAAY|3/25/2022|699|||8191|Scatto Bloccato|11/25/2022
Y05701592||Facile|H02XSZAY|3/25/2022|599|||9274|Scatto Bloccato|11/25/2022
Y05691092||Facile|EZ4RWAAV|3/25/2022|599|||9346|In attesa scatto|11/25/2022
Y05708932||Facile|H07JHZUU|3/25/2022|948|||11304|Scatto Bloccato|11/25/2022
Y05452642||Facile|BVMKXAAW|3/25/2022|1198|||12011|In attesa scatto|11/25/2022
Y05699012||Facile|DEJPAAAN|3/25/2022|1098|||2042|Scatto Bloccato|11/25/2022
Y05476292||Facile|H066RW22|3/28/2022|948|||3693|Scatto Bloccato|11/25/2022
Y05669862||Facile|ABSZDAAD|3/25/2022|2737|||12273|Scatto Bloccato|11/25/2022
Y05646222||Facile|A5LWDAAD|3/25/2022|1571|||9008|Scatto Bloccato|11/25/2022
Y05676072||Facile|H06LU9TT|3/25/2022|599|||12440|In attesa scatto|11/25/2022
Y05573752||Facile|BWYXGAAG|3/25/2022|1341.6|||6610|Scatto Bloccato|11/25/2022
Y05502742||Facile|H06P6W88|3/25/2022|1198|||12261|Scatto Bloccato|11/25/2022
Y05414112||Facile|ETGL1AA0|3/25/2022|2098|||6517|Scatto Bloccato|11/25/2022
Y05206402||Facile|FWX3PAAP|3/25/2022|15345.4|||1626|Scatto Bloccato|11/25/2022
Y04414092||Facile|H055S8VV|1/25/2022|549|||30250|Scatto Bloccato|11/26/2022
Y04316772||Facile|H062AGVU|1/25/2022|349|||30250|Scatto Bloccato|11/26/2022
Y05728462||Facile|H07JK6A5|3/26/2022|948|||56165|In attesa scatto|11/26/2022
Y05728812||Facile|H0451L21|3/26/2022|948|||6846|Scatto Bloccato|11/26/2022
Y05728622||Facile|H07JK0PP|3/26/2022|948|||1088|Scatto Bloccato|11/26/2022
Y05701912||Facile|H02A8BUT|3/26/2022|948|||2505|In attesa scatto|11/26/2022
Y05729092||Facile|H07H3UPP|3/26/2022|948|||12513|Scatto Bloccato|11/26/2022
Y05729522||Facile|H0679UBB|3/26/2022|629|||2826|Scatto Bloccato|11/26/2022
Y05501822||Facile|H07H8G65|3/26/2022|1198|||11958|Scatto Bloccato|11/26/2022
Y05366392||Facile|DA2RFAAE|3/26/2022|999|||12054|Scatto Bloccato|11/26/2022
Y05728722||Facile|H06ZWHML|3/28/2022|3926|||9393|Scatto Bloccato|11/26/2022
Y04352992||Facile|B2V9GAAG|1/26/2022|1477|||992|Scatto Bloccato|11/27/2022
Y04355522||Facile|FHEJPAAN|1/26/2022|498|||32218|Scatto Bloccato|11/27/2022
Y04352632||Facile|BPKTTAAS|1/26/2022|475|||992|Scatto Bloccato|11/27/2022
Y04386032||Facile|BBE4ZAAZ|1/26/2022|2997|||30250|Scatto Bloccato|11/27/2022
Y04360462||Facile|E2T3UAAU|1/26/2022|2046|||31619|Scatto Bloccato|11/27/2022
Y04354162||Facile|ENMZFAAF|1/26/2022|349|||31619|Scatto Bloccato|11/27/2022
Y04357742||Facile|H02K6URR|1/26/2022|349|||32218|Scatto Bloccato|11/27/2022
Y05630372||Facile|DBM86AA6|3/28/2022|652.9|||10097|Scatto Bloccato|11/28/2022
Y05526162||Facile|H05DJ277|3/28/2022|948|||7339|Scatto Bloccato|11/28/2022
Y05037732||Facile|FTSX0AA0|3/28/2022|675|||12338|Scatto Bloccato|11/28/2022
Y05747202||Facile|FGTLFAAE|3/28/2022|2311.35|||4607|Scatto Bloccato|11/28/2022
Y05695592||Facile|E5F3BAAB|3/28/2022|3722|||12120|Scatto Bloccato|11/28/2022
Y05711132||Facile|H069VMNM|3/28/2022|599|||11715|Scatto Bloccato|11/28/2022
Y04659662||Facile|H06836ZZ|3/28/2022|599|||7290|In attesa scatto|11/28/2022
Y04388272||Facile|H02002MM|3/28/2022|2698|||3693|Scatto Bloccato|11/28/2022
Y05526832||Facile|H060NSZY|3/28/2022|2691|||4405|In attesa scatto|11/28/2022
Y05419302||Facile|H07HWL98|3/28/2022|1898|||12803|Scatto Bloccato|11/28/2022
Y05738892||Facile|H06XFP10|3/29/2022|3997|||12939|Scatto Bloccato|11/28/2022
Y05744832||Facile|FPMNPAAN|3/28/2022|948|||11847|Scatto Bloccato|11/28/2022
Y05744192||Facile|B3VNWAAV|3/28/2022|2098|||12210|Scatto Bloccato|11/28/2022
Y05744662||Facile|H06A8SSR|3/28/2022|978|||8669|Scatto Bloccato|11/28/2022
Y05741072||Facile|H01FUK21|3/28/2022|599|||6559|Scatto Bloccato|11/28/2022
Y05743872||Facile|H05XPHFE|3/28/2022|948|||12594|Scatto Bloccato|11/28/2022
Y05524102||Facile|H07H8H87|3/28/2022|978|||5178|Scatto Bloccato|11/28/2022
Y05750372||Facile|H03HTT10|3/29/2022|3323|||11876|In attesa scatto|11/28/2022
Y05551722||Facile|G1J40AA0|3/28/2022|2593|||12229|Scatto Bloccato|11/28/2022
