contratto_cod|codice_ordine_sap|tipo_contratto|codice_opec|data_firma|net_amount|causale_annullamento|data_annullamento|codice_agente|status_quote|creazione_dta
Y04397342||Facile|H066XZNN|1/27/2022|848|||56165|In attesa scatto|9/29/2022
Y03913632||Facile|ANABNAAM|1/28/2022|3666|ANN||9989|Annullata|9/29/2022
Y04393662||Facile|EJG8MAAM|1/27/2022|1248|ANN||12020|Annullata|9/29/2022
Y04353242||Facile|EGJWEAAE|1/28/2022|5297|ANN||2762|Annullata|9/29/2022
Y04417772||Facile|EGJWEAAE|1/28/2022|1248.2|ANN||2762|Annullata|9/29/2022
Y09297661|3014374412|Facile|H0075B32|9/30/2022|2531.07|||12158|Accepted|9/30/2022
Y04329982||Facile|E7HZ1AA1|1/31/2022|1152.45|ANN||9978|Annullata|10/2/2022
Y09332911|3014377695|Facile|H06H2TXX|10/10/2022|3476.7|||3288|Accepted|10/3/2022
Y04505432||Facile|H006Y7TT|2/1/2022|2387|ANN||12345|Annullata|10/3/2022
Y09354881|3014375134|Facile|H07NZ999|10/4/2022|539.1|||12682|Accepted|10/4/2022
Y09384921|3014376347|Facile|H04FL8WW|10/6/2022|2626.4|||1056|Accepted|10/5/2022
Y09389130|3014406141|365|B6P6BAAB|12/1/2022|699|||5771|Accepted|10/5/2022
Y04469842||Facile|H07FS344|2/3/2022|998|ANN||12831|Annullata|10/5/2022
Y09410800|3014375925|365|E6NPVAAU|10/6/2022|2082|||2620|Accepted|10/6/2022
Y09421761|3014405147|Facile|H018JH32|11/30/2022|1333.6|||12019|Accepted|10/6/2022
Y04544792||Facile|DJA2NAB9|2/4/2022|2045|ANN||8100|Annullata|10/6/2022
Y04619292||Facile|BV5Z0AA0|2/7/2022|499|ANN||12526|Annullata|10/10/2022
Y09485251|3014377451|Facile|F3DBDAAB|10/10/2022|1931.4|||10565|Accepted|10/10/2022
Y09491840|3014378130|365|DHEBFAAE|10/11/2022|9177|||3537|Accepted|10/10/2022
Y10075961|3014392708|Facile|H07DZK0Z|11/4/2022|539.1|||12927|Accepted|11/3/2022
Y03907602||Facile|H07HT3LL|1/3/2022|349|ANN||31619|Annullata|11/4/2022
Y10138701|3014394359|Facile|BUE82AA2|11/9/2022|3888.2|||10163|Accepted|11/7/2022
Y10168520|3014394290|365|E2ZWNAAN|11/9/2022|16474.18|||11715|Accepted|11/8/2022
Y10191091|3014395919|Facile|G0RKVAAU|11/11/2022|780.01|||1076|Accepted|11/9/2022
Y10195210||365|FYLN5AA4|1/24/2023|33700|||12864|Bozza|11/9/2022
Y10219010|3014395296|365|A1801AA1|11/10/2022|1318.99|||11943|Accepted|11/10/2022
Y03954442||Facile|GUSKWAAV|1/10/2022|528|||32218|In attesa scatto|11/11/2022
Y04009402||Facile|GB613AA3|1/10/2022|349|||31815|In attesa scatto|11/11/2022
Y03960532||Facile|F36UMAAM|1/10/2022|648|||30110|In attesa scatto|11/11/2022
Y03958562||Facile|H011G2DD|1/10/2022|349|||32218|In attesa scatto|11/11/2022
Y03956342||Facile|H061FKVU|1/10/2022|349|||992|Scatto Bloccato|11/11/2022
Y03999542||Facile|ERG62AA2|1/10/2022|179|||32218|In attesa scatto|11/11/2022
Y10248371|3014413744|Facile|FSR9AAA8|12/20/2022|2639|||2917|Accepted|11/11/2022
Y10248491|3014413745|Facile|H04UWGBA|12/20/2022|2639|||2917|Accepted|11/11/2022
Y03977542||Facile|D7WXDAAD|1/11/2022|798|||30110|In attesa scatto|11/12/2022
Y03997902||Facile|A4E2VAAV|1/11/2022|199|||32218|In attesa scatto|11/12/2022
Y03983802||Facile|H0115WTT|1/11/2022|529|||30110|In attesa scatto|11/12/2022
Y03979882||Facile|A4DA2AA1|1/11/2022|648|||30110|In attesa scatto|11/12/2022
Y04000482||Facile|G3RUBAAB|1/11/2022|399|||30110|In attesa scatto|11/12/2022
Y03981602||Facile|B62HEAAD|1/11/2022|299|||32218|In attesa scatto|11/12/2022
Y03984022||Facile|ABZBUAAT|1/11/2022|449|||30110|In attesa scatto|11/12/2022
Y03983122||Facile|A96ZEAAE|1/11/2022|299|||32218|In attesa scatto|11/12/2022
Y04038582||Facile|H07A9KBA|1/11/2022|349|||31815|In attesa scatto|11/12/2022
Y04035092||Facile|G4WAUAAT|1/13/2022|698|||992|Scatto Bloccato|11/14/2022
