contratto_cod|codice_ordine_sap|tipo_contratto|codice_opec|data_firma|net_amount|causale_annullamento|data_annullamento|codice_agente|status_quote|creazione_dta
Y09747890|3014395135|365|H07NHH0Z|11/10/2022|15156.4|||11510|Accepted|10/19/2022
Y00524520|3014173444|365|A78X5AA5|7/16/2021|962.45|||8943|Accepted|7/15/2021
Y03969720|3014252103|365|B4Z0ZAAZ|1/11/2022|1434|||9149|Accepted|1/11/2022
Y03969740|3014252162|365|H02K7655|1/11/2022|2546|||9149|Accepted|1/11/2022
Y03998230|3014253097|365|BZXLRAAP|1/12/2022|6000.08|||9149|Accepted|1/12/2022
Y04000750|3014253584|365|D4ZL9AA8|1/13/2022|3264.04|||9149|Accepted|1/12/2022
Y04513731|3014265117|Facile|H02E38A8|2/1/2022|599|||30110|Accepted|2/1/2022
Y04518840|3014278614|365|GB2PUAAT|2/25/2022|1000|||87693|Accepted|2/1/2022
Y04519320|3014275919|365|GB2PUAAT|2/21/2022|2000|||87693|Accepted|2/1/2022
Y04519560|3014278615|365|GB2PUAAT|2/25/2022|1000|||87693|Accepted|2/1/2022
Y04536891|3014265485|Facile|H02MNWDD|2/2/2022|648|||30110|Accepted|2/2/2022
Y04895050|3014275924|365|GB2PUAAT|2/21/2022|8500|||87693|Accepted|2/17/2022
Y05420051|3014293231|Facile|H0196977|3/30/2022|748.99|||10369|Accepted|3/11/2022
Y08070720|3014347015|365|A78X5AA5|7/20/2022|1048.45|||8943|Accepted|7/19/2022
Y04199052||Facile|H0613988|2/7/2022|1278|ANN||12055|Annullata|10/10/2022
Y10311740|3014396694|365|H07NHH0Z|11/14/2022|2843.63|||11510|Accepted|11/14/2022
Y11174961|3014416367|Facile|H07X1J10|12/28/2022|503.16|||12682|Accepted|12/27/2022
Y11313031|3014424535|Facile|DF4LHAAG|1/20/2023|9495|||6444|Accepted|1/9/2023
Y11337651||Facile|D8N65AA5|1/21/2023|2945|||6284|Presentata|1/10/2023
Y11338151||Facile|FR390AA0|1/10/2023|499|ANN||30110|Annullata|1/10/2023
Y11346061||Facile|H05W07VV|1/21/2023|1418.6|||9579|Presentata|1/10/2023
Y11363740|3014419753|365|H02K7655|1/12/2023|3826|||9149|Accepted|1/11/2023
Y11366200|3014419175|365|B4Z0ZAAZ|1/11/2023|1484|||9149|Accepted|1/11/2023
Y11369310|3014419692|365|D4ZL9AA8|1/12/2023|3354|||9149|Accepted|1/11/2023
Y11457001|3014424244|Facile|DSL4YAAY|1/20/2023|1267.75|||11304|Accepted|1/14/2023
Y11457071|3014422506|Facile|D0UAWAAV|1/17/2023|752.09|||11304|Accepted|1/14/2023
Y11462480|3014422543|365|A4X98AA8|1/17/2023|4424.52|||4318|Accepted|1/15/2023
Y11462520|3014422544|365|A4X98AA8|1/17/2023|4424.52|||4318|Accepted|1/15/2023
Y11462640|3014422545|365|A4X98AA8|1/17/2023|5995.83|||4318|Accepted|1/15/2023
Y11485171|3014422481|Facile|H07E3666|1/17/2023|2697|||12229|Accepted|1/16/2023
Y11504800|3014422390|365|BZXLRAAP|1/17/2023|6100|||9149|Accepted|1/17/2023
Y11517091|3014422532|Facile|A0LU3AA3|1/17/2023|799|||12988|Accepted|1/17/2023
Y11539911||Facile|H05WRYPP|1/18/2023|1047|||12561|Bozza|1/18/2023
Y11540250|3014423067|365|ATYD2AA1|1/18/2023|2097.99|||2547|Accepted|1/18/2023
Y11577040||365|FN2NWAAV|1/21/2023|356|||63078|Accepted|1/19/2023
Y11582740||365|H02E38A8|1/19/2023|199|||30250|Accepted|1/19/2023
Y11603420||365|BTWRUAAT|1/20/2023|599|||30221|Accepted|1/20/2023
Y11603541||Facile|H007SKUT|1/20/2023|648|||8496|Bozza|1/20/2023
Y11616131||Facile|GGKJ7AA6|1/20/2023|657|||30190|Bozza|1/21/2023
Y11616351||Facile|EML5MAAM|1/21/2023|4946|||12729|Bozza|1/21/2023
Y11616421||Facile|B5RUJAAJ|1/21/2023|1141.81|||4615|Presentata|1/21/2023
Y11616501||Facile|H01VG1ZZ|1/21/2023|899.01|||6284|Presentata|1/21/2023
Y11616641||Facile|FEFXJAAJ|1/21/2023|948|||11084|Bozza|1/21/2023
Y11616671||Facile|BYHEGAAF|1/21/2023|1046|||12561|Bozza|1/21/2023
Y11616661||Facile|H02MNWDD|1/21/2023|845|||30110|Accepted|1/21/2023
Y11616691||Facile|H0613988|1/21/2023|2989.92|||12055|Accepted|1/21/2023
Y11616711||Facile|FYX2XAAX|1/21/2023|0|||300|Accepted|1/21/2023
Y11616721||Facile|H04EZX44|1/21/2023|0|||300|Accepted|1/21/2023
Y11616731||Facile|H06YWS21|1/21/2023|0|||300|Accepted|1/21/2023
Y11616750||365|H060HJLK|1/21/2023|485.53|||6262|Presentata|1/21/2023
Y11616761||Facile|H07A2RWV|1/21/2023|7799|||11852|Bozza|1/21/2023
Y11616780||365|ATWBVAAU|1/21/2023|8041.35|||1479|Presentata|1/21/2023
Y11616791||Facile|H01R2588|1/21/2023|0|||300|Accepted|1/21/2023
Y11616801||Facile|H0712HWV|1/21/2023|0|||300|Accepted|1/21/2023
