contratto_cod|numero_annuncio|list_total|contracted_price|total_discount|data_attivazione|data_fine_prestazione|product_code|quantity|causale_annullamento|data_annullamento|status_item|creazione_dta
Y00689881|3|123|123|0|7/22/2021|10/30/2022|SGE|1|||R|7/21/2021
Y00689881|5|120|120|0|7/22/2021|10/30/2022|GODB|1|||R|7/21/2021
Y00689881|4|106|106|0|7/22/2021|9/19/2022|SBE|1|||R|7/21/2021
Y00689881|6|100|100|0|7/22/2021|7/22/2022|REPM|1|||R|7/22/2021
Y00689881|7|149|149|0|7/22/2021|9/17/2022|PGMOB|1|||R|7/22/2021
Y00845671|3|245|245|0|7/27/2021|1/20/2023|SGP|1|||R|7/27/2021
Y00845671|5|119|119|0|7/27/2021|12/23/2022|GODB|1|||R|7/27/2021
Y00845671|4|135|135|0|7/27/2021|9/11/2022|SBE|1|||R|7/27/2021
Y00845671|6|100|100|0|7/27/2021|7/27/2022|REPM|1|||R|7/27/2021
Y00845671|7|200|200|0|7/27/2021|7/27/2022|VIS|4|||R|7/27/2021
Y00845671|8|76|76|0|7/27/2021|9/9/2022|FUOP|1|||R|7/27/2021
Y00845671|9|149|149|0|7/27/2021|9/9/2022|PGMOB|1|||R|7/27/2021
Y00177570|3|123|123|0|7/1/2021|8/28/2022|SGE|1|||R|7/1/2021
Y00177570|5|120|120|0|7/1/2021|8/28/2022|GODB|1|||R|7/1/2021
Y00177570|4|106|106|0|7/1/2021|8/29/2022|SBE|1|||R|7/1/2021
Y00177570|6|0|0|0|7/2/2021|7/2/2022|FBP|1|||R|7/1/2021
Y00177570|7|149|149|0|7/1/2021|7/1/2022|PGMOB|1|||R|7/1/2021
Y00415981|5|622.5|507.1|115.4|11/17/2021|11/17/2022|FBB|5|||R|7/12/2021
Y00415981|6|1000|814.6|185.4|11/17/2021|11/17/2022|FBCR|10|||R|7/12/2021
Y00415981|7|49|5.62|9.08|12/17/2021||TESTO|1|||R|7/12/2021
Y00415981|8|49|5.62|9.08|12/17/2021||TESTO|1|||R|7/12/2021
Y00415981|2|329|268.03|60.97|7/14/2021|9/20/2022|SGE|1|||R|7/12/2021
Y00415981|3|170|138.49|31.51|7/14/2021|7/15/2022|GODB|1|||R|7/12/2021
Y00415981|4|599|487.96|111.04|7/14/2021|8/6/2022|MSE|1|||R|7/12/2021
Y00984500|3|123|113.73|9.27|8/2/2021|9/30/2022|SGE|1|||R|8/2/2021
Y00984500|5|120|110.97|9.03|8/2/2021|9/30/2022|GODB|1|||R|8/2/2021
Y00984500|4|106|98.02|7.98|8/2/2021|9/30/2022|SBE|1|||R|8/2/2021
Y00984500|7|30|27.74|2.26|8/2/2021|9/30/2022|HOMEB|1|||R|8/2/2021
Y00984500|6|50|46.24|3.76|8/2/2021|8/2/2022|VIS|1|||R|8/2/2021
Y00984500|8|89|82.3|6.7|8/2/2021|8/2/2022|RFYS|1|||R|8/2/2021
Y01006431|3|123|114.15|8.85|8/4/2021|9/3/2022|SGE|1|||R|8/3/2021
Y01006431|5|120|111.38|8.62|8/4/2021|9/9/2022|GODB|1|||R|8/3/2021
Y01006431|4|106|98.39|7.61|8/4/2021|10/30/2022|SBE|1|||R|8/3/2021
