contratto_cod|numero_annuncio|list_total|contracted_price|total_discount|data_attivazione|data_fine_prestazione|product_code|quantity|causale_annullamento|data_annullamento|status_item|creazione_dta
Y11598580|6|30|23.67|6.33|1/21/2023|1/21/2024|HOMEB|1|||R|1/20/2023
Y11598580|3|123|97.04|25.96|1/21/2023|1/21/2024|SGE|1|||R|1/20/2023
Y11598580|4|106|83.63|22.37|1/21/2023|1/21/2024|SBE|1|||R|1/20/2023
Y11598580|5|120|94.67|25.33|1/21/2023|1/21/2024|GODB|1|||R|1/20/2023
Y11598811|3|299.1|279.53|19.57|||SGBAS|1|||R|1/20/2023
Y11598811|4|144.89|135.41|9.48|||SBE|1|||R|1/20/2023
Y11598811|5|109.87|102.68|7.19|||GODB|1|||R|1/20/2023
Y11598811|6|4.61|4.31|0.3|||REPL|1|||R|1/20/2023
Y11598811|7|40.53|37.88|2.65|||CRMCO|1|||R|1/20/2023
Y11598811|8|150|140.19|9.81|||VIS|3|||R|1/21/2023
Y11598881|3|299.1|299.1|0|1/21/2023|4/21/2024|SGBAS|1|||R|1/20/2023
Y11598881|4|144.89|144.89|0|1/21/2023|1/21/2024|SBE|1|||R|1/20/2023
Y11598881|5|109.87|109.87|0|1/21/2023|2/8/2024|GODB|1|||R|1/20/2023
Y11598881|6|4.61|4.61|0|1/21/2023|1/21/2024|REPL|1|||R|1/20/2023
Y11598881|7|40.53|40.53|0|1/21/2023|1/21/2024|CRMCO|1|||R|1/20/2023
Y11598881|8|100|100|0|1/21/2023|1/21/2024|VIS|2|||R|1/21/2023
Y11598981|8|30|28.3|1.7|1/21/2023|2/2/2024|HOMEB|1|||R|1/20/2023
Y11598981|3|299.1|235.04|14.13|1/21/2023|2/2/2024|SGBAS|1|||R|1/20/2023
Y11598981|4|144.89|113.86|6.84|1/21/2023|2/2/2024|SBE|1|||R|1/20/2023
Y11598981|5|109.87|86.34|5.19|1/21/2023|2/2/2024|GODB|1|||R|1/20/2023
Y11598981|6|4.61|3.62|0.22|1/21/2023|1/21/2024|REPL|1|||R|1/20/2023
Y11598981|7|40.53|31.85|1.91|1/21/2023|1/21/2024|CRMCO|1|||R|1/20/2023
Y11599151|3|299.1|299.1|0|||SGBAS|1|||R|1/20/2023
Y11599151|4|144.89|144.89|0|||SBE|1|||R|1/20/2023
Y11599151|5|109.87|109.87|0|||GODB|1|||R|1/20/2023
Y11599151|6|4.61|4.61|0|||REPL|1|||R|1/20/2023
Y11599151|7|40.53|40.53|0|||CRMCO|1|||R|1/20/2023
Y11599151|8|50|50|0|||VIS|1|||R|1/21/2023
Y11599151|9|149|149|0|||PGMOB|1|||R|1/21/2023
