contratto_cod|numero_annuncio|list_total|contracted_price|total_discount|data_attivazione|data_fine_prestazione|product_code|quantity|causale_annullamento|data_annullamento|status_item|creazione_dta
Y05310491|1|0|0|0|3/7/2022||SGF|1||1/21/2023|L|3/7/2022
Y07874551|10|599|599|0|7/13/2022|10/21/2023|MSE|1|||R|7/12/2022
Y07874551|8|150|150|0|7/13/2022|7/13/2023|VIS|3|||R|7/12/2022
Y07874551|9|149|149|0|7/13/2022|7/13/2023|PGMOB|1|||R|7/12/2022
Y07874551|3|299.1|299.1|0|7/13/2022|8/2/2023|SGBAS|1|||R|7/13/2022
Y07874551|4|144.89|144.89|0|7/13/2022|8/2/2023|SBE|1|||R|7/13/2022
Y07874551|5|109.87|109.87|0|7/13/2022|8/2/2023|GODB|1|||R|7/13/2022
Y07874551|6|4.61|4.61|0|7/13/2022|7/13/2023|REPL|1|||R|7/13/2022
Y07874551|7|40.53|40.53|0|7/13/2022|7/13/2023|CRMCO|1|||R|7/13/2022
Y07943430|2|329|329|0|7/14/2022|12/29/2023|SGE|1|||R|7/14/2022
Y07943430|3|170|170|0|7/14/2022|7/28/2023|GODB|1|||R|7/14/2022
Y07943430|4|599|599|0|7/14/2022|11/1/2023|MSE|1|||R|7/14/2022
Y07943430|5|49|14.7|0|||TESTO|1|||R|7/14/2022
Y07943430|7|49|14.7|0|||TESTO|1|||R|7/14/2022
Y07943430|6|99|39.6|0|||LOG0|1|||R|7/14/2022
Y03971372|6|240|204|0|||SGE|1|||R|1/21/2023
Y03971372|7|111.76|95|0|||GODB|1|||R|1/21/2023
Y03971372|8|599|599|0|||MSE|1|||R|1/21/2023
Y03973472|5|479|479|0|||SGP|1|||R|1/21/2023
Y03973472|6|170|170|0|||GODB|1|||R|1/21/2023
Y03973472|7|100|100|0|||VIS|2|||R|1/21/2023
Y03973472|8|599|599|0|||MSE|1|||R|1/21/2023
Y03977872|5|329|329|0|||SGE|1|||R|1/21/2023
Y03977872|6|170|170|0|||GODB|1|||R|1/21/2023
Y03977872|7|599|599|0|||MSE|1|||R|1/21/2023
Y03882272|6|444|444|0|||SGP|1|||R|1/21/2023
Y03882272|7|132|132|0|||SBE|1|||R|1/21/2023
Y03882272|8|93|93|0|||GODB|1|||R|1/21/2023
Y03882272|9|199|199|0|||AWE|1|||R|1/21/2023
Y03882272|10|1400|1400|0|||AWCR|14|||R|1/21/2023
Y03961652|6|444|444|0|||SGP|1|||R|1/21/2023
Y03961652|7|132|132|0|||SBE|1|||R|1/21/2023
Y03961652|8|93|93|0|||GODB|1|||R|1/21/2023
Y03961652|9|599|599|0|||MSE|1|||R|1/21/2023
Y03977722|6|444|444|0|||SGP|1|||R|1/21/2023
Y03977722|7|132|132|0|||SBE|1|||R|1/21/2023
Y03977722|8|93|93|0|||GODB|1|||R|1/21/2023
Y03977722|9|350|350|0|||VIS|7|||R|1/21/2023
Y03977722|10|215|215|0|||PLCP|1|||R|1/21/2023
Y03977722|11|149|149|0|||PGMOB|1|||R|1/21/2023
Y03977722|12|49|26.95|0|||TESTO|1|||R|1/21/2023
Y03981002|6|444|444|0|||SGP|1|||R|1/21/2023
Y03981002|7|132|132|0|||SBE|1|||R|1/21/2023
Y03981002|8|93|93|0|||GODB|1|||R|1/21/2023
Y03981002|9|30|30|0|||HOMEB|1|||R|1/21/2023
Y03981002|10|599|599|0|||MSE|1|||R|1/21/2023
Y03981002|11|199|199|0|||AWE|1|||R|1/21/2023
Y03981002|12|1500|1500|0|||AWCR|15|||R|1/21/2023
Y03978522|5|329|329|0|||SGE|1|||R|1/21/2023
Y03978522|6|290|290|0|||SBE|1|||R|1/21/2023
Y03978522|7|170|170|0|||GODB|1|||R|1/21/2023
Y03978522|8|215|215|0|||PLCP|1|||R|1/21/2023
Y03978522|9|76|76|0|||FUOP|1|||R|1/21/2023
Y03978522|10|49|49|0|||TESTO|1|||R|1/21/2023
Y03978522|11|49|49|0|||TESTO|1|||R|1/21/2023
Y04012742|6|240|204|0|||SGE|1|||R|1/21/2023
Y04012742|7|111.76|95|0|||GODB|1|||R|1/21/2023
Y03997332|5|329|329|0|||SGE|1|||R|1/21/2023
Y03997332|6|170|170|0|||GODB|1|||R|1/21/2023
Y03997332|7|349|349|0|||SSE|1|||R|1/21/2023
Y03997382|5|479|479|0|||SGP|1|||R|1/21/2023
Y03997382|6|170|170|0|||GODB|1|||R|1/21/2023
Y03997382|7|599|599|0|||MSE|1|||R|1/21/2023
Y03997382|8|199|199|0|||AWE|1|||R|1/21/2023
Y03997382|9|2200|2200|0|||AWCR|22|||R|1/21/2023
Y04004822|5|329|329|0|||SGE|1|||R|1/21/2023
Y04004822|6|170|170|0|||GODB|1|||R|1/21/2023
Y04004822|7|100|100|0|||VIS|2|||R|1/21/2023
Y04004822|8|599|599|0|||MSE|1|||R|1/21/2023
Y04004822|9|49|49|0|||TESTO|1|||R|1/21/2023
Y04004822|10|49|49|0|||TESTO|1|||R|1/21/2023
Y04014562|5|329|329|0|||SGE|1|||R|1/21/2023
Y04014562|6|170|170|0|||GODB|1|||R|1/21/2023
Y04014562|7|100|100|0|||VIS|2|||R|1/21/2023
Y04014562|8|599|599|0|||MSE|1|||R|1/21/2023
Y04014562|9|49|26.95|0|||TESTO|1|||R|1/21/2023
Y04014562|10|49|26.95|0|||TESTO|1|||R|1/21/2023
Y04035882|6|123|123|0|||SGE|1|||R|1/21/2023
Y04035882|7|106|106|0|||SBE|1|||R|1/21/2023
Y04035882|8|120|120|0|||GODB|1|||R|1/21/2023
Y04029602|5|329|329|0|||SGE|1|||R|1/21/2023
Y04029602|6|170|170|0|||GODB|1|||R|1/21/2023
Y03980352|5|329|329|0|||SGE|1|||R|1/21/2023
Y03980352|6|170|170|0|||GODB|1|||R|1/21/2023
Y03980352|7|349|349|0|||SSE|1|||R|1/21/2023
Y04001062|7|444|444|0|||SGP|1|||R|1/21/2023
Y04001062|8|132|132|0|||SBE|1|||R|1/21/2023
Y04001062|9|93|93|0|||GODB|1|||R|1/21/2023
Y04001062|13|299|299|0|||SAGG|1|||R|1/21/2023
Y04001062|14|1149|1149|0|||ADVNE|1|||R|1/21/2023
Y04001062|15|49|35.28|0|||TESTO|1|||R|1/21/2023
Y04001062|16|49|35.28|0|||TESTO|1|||R|1/21/2023
Y04001062|17|49|35.28|0|||TESTO|1|||R|1/21/2023
Y04001062|18|49|29.4|0|||TESTO|1|||R|1/21/2023
Y04001062|19|49|31.85|0|||TESTO|1|||R|1/21/2023
Y04001062|10|75|75|0|||CRMEM|1|||R|1/21/2023
Y04001062|11|25|25|0|||CRMCO|1|||R|1/21/2023
Y04001062|12|99|99|0|||CRMSM|1|||R|1/21/2023
Y04035452|5|329|329|0|||SGE|1|||R|1/21/2023
Y04035452|6|170|170|0|||GODB|1|||R|1/21/2023
Y04036742|5|329|329|0|||SGE|1|||R|1/21/2023
Y04036742|6|170|170|0|||GODB|1|||R|1/21/2023
Y04036742|7|100|100|0|||VIS|2|||R|1/21/2023
Y04036742|8|149|149|0|||PGMOB|1|||R|1/21/2023
Y04036742|9|599|599|0|||MSE|1|||R|1/21/2023
Y04036742|10|649|649|0|||AWP|1|||R|1/21/2023
Y04036742|11|3100|3100|0|||AWCR|31|||R|1/21/2023
Y03955972|5|329|329|0|||SGE|1|||R|1/21/2023
Y03955972|6|170|170|0|||GODB|1|||R|1/21/2023
Y03955972|7|249|249|0|||FBB|2|||R|1/21/2023
Y03955972|8|600|600|0|||FBCR|6|||R|1/21/2023
Y03955972|9|649|649|0|||LSF|1|||R|1/21/2023
Y03955972|10|2400|2400|0|||POT|24|||R|1/21/2023
Y04007772|6|444|444|0|||SGP|1|||R|1/21/2023
Y04007772|7|132|132|0|||SBE|1|||R|1/21/2023
Y04007772|8|93|93|0|||GODB|1|||R|1/21/2023
Y04007772|9|199|199|0|||AWE|1|||R|1/21/2023
Y04007772|10|800|800|0|||AWCR|8|||R|1/21/2023
Y04007772|11|99|59.4|0|||LOG0|1|||R|1/21/2023
Y04007772|12|99|59.4|0|||LOG0|1|||R|1/21/2023
Y04007772|13|1100|616|0|||FTE 4x10|1|||R|1/21/2023
Y04007772|14|99|99|0|||LOG0|1|||R|1/21/2023
Y04012092|5|329|329|0|||SGE|1|||R|1/21/2023
Y04012092|6|170|170|0|||GODB|1|||R|1/21/2023
Y04012092|7|30|30|0|||HOMEB|1|||R|1/21/2023
Y04012092|8|199|199|0|||AWE|1|||R|1/21/2023
Y04012092|9|1000|1000|0|||AWCR|10|||R|1/21/2023
Y04012092|10|99|54.45|0|||LOG0|1|||R|1/21/2023
Y04012092|11|99|54.45|0|||LOG0|1|||R|1/21/2023
Y04002192|5|329|329|0|||SGE|1|||R|1/21/2023
